"bucheggberg","dorneck","gaeu","goesgen","grenchen","lebern","olten","solothurn","thal","thierstein","wasseramt","jahr"
"28","54","44","39","42","49","67","12","38","54","112","2019" 
"25","58","52","43","19","42","69","12","34","65","121","2018" 
"43","44","57","56","17","55","69","12","52","55","103","2017"  
"27","63","57","58","11","51","111","16","27","66","131","2016"  
"36","63","49","44","24","73","66","10","38","57","117","2015"
"45","65","50","49","26","45","105","12","26","43","126","2014"  
"40","61","68","45","33","58","89","21","36","51","145","2013" 
"50","74","57","68","38","68","120","12","54","72","126","2012"
"39","102","73","67","30","63","128","17","41","88","167","2011"
"28","109","71","68","38","75","109","17","40","80","142","2010"
"48","110","65","60","32","70","112","15","41","77","163","2009"
"40","93","66","64","33","99","124","31","30","94","151","2008"
"34","107","63","58","46","92","110","17","63","79","180","2007"
"39","107","80","73","47","95","120","16","36","67","154","2006"
"52","112","72","53","52","78","135","26","47","72","199","2005"
"71","94","68","60","45","119","139","22","35","95","138","2004"
"55","96","62","69","47","90","124","10","26","68","148","2003"
"43","103","79","60","47","89","135","13","44","66","123","2002"
"35","80","63","58","50","75","102","19","49","70","136","2001"
"42","77","58","63","51","77","123","23","37","72","159","2000"
"47","82","69","80","36","68","116","25","74","93","121","1999"
"43","131","72","79","45","64","118","11","55","104","114","1998"
"34","82","84","78","113","46","111","14","51","96","126","1997"
"44","46","53","94","53","69","140","10","50","153","105","1996"
"31","103","99","55","45","77","109","8","54","87","138","1995"
"39","98","82","92","30","76","154","9","79","107","125","1994"
"42","89","74","81","33","89","144","17","60","116","143","1993"
"32","80","62","98","32","51","137","31","45","87","175","1992"
